px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
127.682	13.2967	2.53899	0.189385	0.0428647	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.475611
129.978	13.7057	2.45206	0.189034	0.016858	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.201063
130.029	13.7102	2.47797	0.187421	0.0163992	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.26448
132.143	14.4999	2.34824	0.399581	0.14663	132.092	14.507	132.53	14.458	2.55028	0.74543	0.737577
132.22	14.4917	2.48521	0.36184	0.0977593	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.58028
134.957	15.0348	2.77116	0.128916	-0.133351	135.073	15.0475	135.066	15.2513	2.58865	0.863795	3.18302
134.963	15.0285	2.72919	0.123915	-0.137484	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.406882
137.553	16.1753	2.77014	0.490141	0.195008	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.81073
137.599	16.1579	2.8746	0.447991	0.135406	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.833535
140.307	17.0242	2.88918	0.296247	-0.0632631	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.7178
140.32	17.0259	2.90817	0.292196	-0.0679335	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0582679
142.911	17.987	2.86189	0.347943	0.0160316	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.199835
142.879	17.9813	2.85793	0.342577	0.00532207	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.726521
145.398	19.1531	2.85827	0.466242	0.0860772	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.113049
145.481	19.1539	2.9606	0.437228	0.0501837	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.8299
148.206	20.459	3.09054	0.457273	0.0243453	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.438504
148.192	20.4623	3.04932	0.474426	0.0494019	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.175931
150.688	22.1053	3.06849	0.632976	0.124408	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.10103
150.704	22.0927	3.12698	0.591205	0.0609973	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.618667
153.407	23.503	3.11165	0.453252	-0.0799028	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.373324
